domain,registered_date,registered_year,expire,changed,registrar,org,city,country,nameservers
banavih.gob.ve,,,,,,Wilson Junior,1050,VE,"ns2.banavih.gob.ve, ns1.banavih.gob.ve"
bandes.gob.ve,,,,,,,Caracas,VE,"ns1.bandes.gob.ve, ns2.bandes.gob.ve, ns3.bandes.gob.ve, ns4.bandes.gob.ve"
bnv.gob.ve,,,,,,,Caracas,VE,ns.bnv.gob.ve
bolipuertos.gob.ve,,,,,,,Carcas,VE,"dns1.cantv.net, dns2.cantv.net"
bomberosdeamazonas.gob.ve,,,,,,Francisco Javier,7101,VE,"ns6.gconex.com, ns5.gconex.com"
bomberosmerida.gob.ve,,,,,,Gregori Alejandro,5101,VE,"ns1.wthosting.net, ns2.wthosting.net"
bpvb.gob.ve,,,,,,Elide Maritza,1060,VE,"dns1.bpvb.gob.ve, dns2.bpvb.gob.ve"
bt.gob.ve,,,,,,Banco Del Tesoro  C A   Banco Universal,1060,VE,"ns01.bt.gob.ve, ns02.bt.gob.ve"
bustaguanes.gob.ve,,,,,,,San Carlos,VE,"kai.ns.cloudflare.com, sandy.ns.cloudflare.com"
cabelum.gob.ve,,,,,,CVG Conductores de Aluminio del Caroní (CVG CABELUM),8001,VE,"ns2.rochendns.net, ns1.rochendns.net"
caracas.gob.ve,,,,,,Darwin Rafael,1010,VE,"ns1.caracas.gob.ve, ns2.caracas.gob.ve"
cass.gob.ve,,,,,,Comision Antidumping Y Sobre Subsidios,1060,VE,"ns19.tepuyserver.net, ns20.tepuyserver.net"
cebm.gob.ve,,,,,,NO APLICA,1201,VE,"ns2.cebm.gob.ve, ns1.cebm.gob.ve"
cedocabar.gob.ve,,,,,,,Maracay,VE,"ns8.conectarhosting.com, ns7.conectarhosting.com"
cenal.gob.ve,,,,,,Ministerio Del Poder Popular Para La Cultura,1010,VE,"dns1.cenal.gob.ve, dns2.cenal.gob.ve"
cenaoz.gob.ve,,,,,,,1010,VE,"ns2.cenaoz.gob.ve, ns1.cenaoz.gob.ve"
cendis.gob.ve,,,,,,Ministerio Del Poder Popular Para La Cultura,1010,VE,"ns2.mincultura.gob.ve, ns1.mincultura.gob.ve"
cendit.gob.ve,,,,,,,Caracas,VE,"ns1.mppct.gob.ve, ns2.mppct.gob.ve"
cenditel.gob.ve,,,,,,NO APLICA,5101,VE,"ns00.cenditel.gob.ve, ns05.cenditel.gob.ve, ns02.cenditel.gob.ve, ns03.cenditel.gob.ve, ns04.cenditel.gob.ve, ns01.cenditel.gob.ve"
cenipa.gob.ve,,,,,,Centro Nacional De Investigacion De Pesca Y Agricultura,1015,VE,"dns2.cenipa.gob.ve, dns1.cenipa.gob.ve"
cenvih.gob.ve,,,,,,Angela Tibisay,1080,VE,"ns2.mppct.gob.ve, ns1.mppct.gob.ve, ns3.mppct.gob.ve"
cfg.gob.ve,,,,,,Fondo De Compensacion Interterritorial,1050,VE,"ns4.cfg.gob.ve, ns3.cfg.gob.ve"
cgesucre.gob.ve,,,,,,,Cuman&#225;,VE,"ns1.afraid.org, ns2.afraid.org, ns3.afraid.org, ns4.afraid.org"
cgr.gob.ve,,,,,,Julio Isaac,1050,VE,"aldo.ns.cloudflare.com, sue.ns.cloudflare.com"
chacao.gob.ve,,,,,,Alcaldia Del Municipio Chacao,1060,VE,"jihoon.ns.cloudflare.com, harleigh.ns.cloudflare.com"
chambajuvenil.gob.ve,,,,,,,Caracas,VE,"dns2.gmsaberytrabajo.gob.ve, externo1.gmsaberytrabajo.gob.ve"
ciara.gob.ve,,,,,,,Caracas,VE,dns1.ciara.gob.ve
cida.gob.ve,,,,,,Centro De Investigaciones De Astronomia Francisco J Duarte,5101,VE,"ns2.nocdirect.com, ns.nocdirect.com"
