domain,registered_date,registered_year,expire,changed,registrar,org,city,country,nameservers
icopetro.gob.ve,,,,,,,Caracas,VE,"luke.ns.cloudflare.com, mona.ns.cloudflare.com"
idea.gob.ve,,,,,,Zuly Maritza,1050,VE,"ns4.reacciun.ve, ns3.reacciun.ve"
idenna.gob.ve,,,,,,Instituto Autonomo Consejo Nacional De Derechos De Ni  Os  Ni  As Y Adolecentes  Idenna,1053,VE,"m2.servidoro.com, m1.servidoro.com"
igvsb.gob.ve,,,,,,,Caracas,VE,"dns01.igvsb.gob.ve, ns2.mppp.gob.ve"
ima.gob.ve,,,,,,,Valencia,VE,"dns1.alcaldiadevalencia.gob.ve, dns2.alcaldiadevalencia.gob.ve"
inac.gob.ve,,,,,,,Caracas,VE,"dns2.inac.gob.ve, dns1.inac.gob.ve"
inamujer.gob.ve,,,,,,Instituto Nacional De La Mujer,1010,VE,"dns2.inamujer.gob.ve, dns1.inamujer.gob.ve"
inatur.gob.ve,,,,,,,Caracas,VE,"dns1.mintur.gob.ve, dns2.mintur.gob.ve"
inces.gob.ve,,,,,,Aquiles Alberto,1010,VE,"dns2.inces.gob.ve, dns1.inces.gob.ve, ns4.reacciun.ve, ns3.reacciun.ve"
incret.gob.ve,,,,,,,Caracas,VE,"matrix1.adclichosting.com, matrix2.adclichosting.com"
industrias.gob.ve,,,,,,Mpp De Industrias Y Produccion Nacional,1071,VE,"ns2.industrias.gob.ve, ns1.industrias.gob.ve"
ine.gob.ve,,,,,,Instituto Nacional de Estadistica,1060,VE,"dns.ine.gob.ve, ns1.mppp.gob.ve"
inea.gob.ve,,,,,,,caracas,VE,"dns1.inea.gob.ve, dns2.inea.gob.ve"
infocentro.gob.ve,,,,,,Fundación Infocentro,1010,VE,"ns3.reacciun.ve, ns4.reacciun.ve"
inh.gob.ve,,,,,,,Caracas,VE,"dina.ns.cloudflare.com, luke.ns.cloudflare.com"
inhrr.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net"
inia.gob.ve,,,,,,Ysabel Cristina,2105,VE,"dns2.inia.gob.ve, dns1.inia.gob.ve"
inidi.gob.ve,,,,,,Instituto Nacional De Idiomas Indigenas,1010,VE,"ns2.byet.org, ns1.byet.org"
inn.gob.ve,,,,,,,Caracas,VE,"dns1.inn.gob.ve, dns2.inn.gob.ve"
inparques.gob.ve,,,,,,,Caracas,VE,"ns3.tepuyserver.net, ns4.tepuyserver.net"
inpsaseletica.gob.ve,,,,,,Inst  Nacional De Prevencion  Salud Y Seguridad Laborales,1030,VE,"dns2.cantv.net, dns1.cantv.net"
insai.gob.ve,,,,,,,Maracay,VE,"ns2.insai.gob.ve, ns1.insai.gob.ve, ns4.insai.gob.ve, ns3.insai.gob.ve"
insalud.gob.ve,,,,,,,Valencia,VE,"ns1.insalud.gob.ve, ns2.insalud.gob.ve, ns3.insalud.gob.ve, ns4.insalud.gob.ve"
insemat.gob.ve,,,,,,Instituto Autonomo De Servicio Municipal De Administración Tributaria,3050,VE,"ns-cloud-a4.googledomains.com, ns-cloud-a3.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a1.googledomains.com"
insopesca.gob.ve,,,,,,,Caracas,VE,"dns1.insopesca.gob.ve, dns2.insopesca.gob.ve"
inti.gob.ve,,,,,,Osmary Del Valle,1050,VE,"dns1.inti.gob.ve, dns2.inti.gob.ve"
intt.gob.ve,,,,,,,Caracas,VE,"dns1.intt.gob.ve, dns2.intt.gob.ve"
inzit.gob.ve,,,,,,Lisdery Del Valle,4036,VE,"ns3.nube.gob.ve, ns5.nube.gob.ve"
ipasme.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net"
ipostel.gob.ve,,,,,,,Caracas,VE,"dns1.ipostel.gob.ve, dns2.ipostel.gob.ve"
ipsfa.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns.ipsfa.gob.ve, dns2.ipsfa.gob.ve, dns2.cantv.net, dns1.ipsfa.gob.ve"
ispeb.gob.ve,,,,,,Instituto De Salud Publica Del Edo Bolivar,8001,VE,"sam.ns.cloudflare.com, daphne.ns.cloudflare.com"
ivic.gob.ve,,,,,,,Caracas,VE,dns1.ivic.gob.ve
ivpa.gob.ve,,,,,,,Caracas,VE,"ns2.mppp.gob.ve, ns1.mppp.gob.ve"
juventudydeporte.gob.ve,,,,,,Ministerio Del Poder Popular Para La Juventud Y El Deporte,1020,VE,"dns2.cantv.net, dns1.cantv.net"
lara.gob.ve,,,,,,,Barquisimeto,VE,ns1.lara.gob.ve
lecheria.gob.ve,,,,,,NO APLICA,6016,VE,"matrix2.adclichosting.com, matrix1.adclichosting.com"
loteriadecaracas.gob.ve,,,,,,Loteria De Caracas,1020,VE,"luke.ns.cloudflare.com, dina.ns.cloudflare.com"
maracaibo.gob.ve,,,,,,,Maracaibo,VE,"ns1.afraid.org, ns2.afraid.org, ns3.afraid.org, ns4.afraid.org"
masciencia.gob.ve,,,,,,Parque Cientifico Tecnol  Gico De Venezuela M  S Ciencia  S A,1204,VE,"ns2.mppct.gob.ve, ns1.mppct.gob.ve"
mercal.gob.ve,,,,,,NO APLICA,1090,VE,"dns1.mercal.gob.ve, dns2.mercal.gob.ve"
merida.gob.ve,,,,,,,Merida,VE,"s1.teleinformatica.gob.ve, s2.teleinformatica.gob.ve"
metrodecaracas.gob.ve,,,,,,C.a. Metro De Caracas,1010,VE,"dns1.cantv.net, dns2.cantv.net"
minaamp.gob.ve,,,,,,Ministerio Del Poder Popular Para Los Adultos Y Adultas Mayores  Abuelos Y Abuelas De La Patria,1050,VE,"dns2.minaamp.gob.ve, dns1.minaamp.gob.ve"
minagricultura.gob.ve,,,,,,,Caracas,VE,"ns1.minagricultura.gob.ve, ns2.minagricultura.gob.ve"
minaguas.gob.ve,,,,,,Rodulfo Oswaldo,1010,VE,"ns1.minaguas.gob.ve, ns2.minaguas.gob.ve"
mincoex.gob.ve,,,,,,Ministerio Del Poder Popular Para El Comercio Exterior,1060,VE,"ns2.galawebhost.net, ns1.galawebhost.net"
mincomercionacional.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net"
mincultura.gob.ve,,,,,,Ministerio Del Poder Popular Para La Cultura,Caracas,VE,"ns1.mincultura.gob.ve, ns2.mincultura.gob.ve"
mincyt.gob.ve,,,,,,Ministerio del Poder Popular para la Ciencia y Tecnología,1010,VE,"ns2.mppct.gob.ve, ns5.nube.gob.ve, ns3.nube.gob.ve, ns1.mppct.gob.ve"
mindefensa.gob.ve,,,,,,,Caracas,VE,"dns1.mindefensa.gob.ve, dns2.mindefensa.gob.ve"
mindeporte.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net"
minec.gob.ve,,,,,,,Caracas.,VE,"dns1.minec.gob.ve, dns2.minec.gob.ve"
minhidrocarburos.gob.ve,,,,,,Ministerio Del Poder Popular De Petroleo,1050,VE,"dns2.cantv.net, dns1.cantv.net"
minhvi.gob.ve,,,,,,,Caracas,VE,"ns1.afraid.org, ns1.minhvi.gob.ve, ns2.afraid.org, ns2.minhvi.gob.ve"
minmujer.gob.ve,,,,,,Ministerio Del Poder Popular Para La Mujer Y La Igualdad De Genero,1010,VE,"dns2.minmujer.gob.ve, dns1.minmujer.gob.ve"
minpal.gob.ve,,,,,,,Caracas,VE,"ns1.minpal.gob.ve, ns2.minpal.gob.ve"
minpesca.gob.ve,,,,,,Andrea,1010,VE,"dns1.minpesca.gob.ve, dns2.minpesca.gob.ve"
minpi.gob.ve,,,,,,,Caracas,VE,"ns2.minpi.gob.ve, ns1.minpi.gob.ve"
mintur.gob.ve,,,,,,,Caracas,VE,"dns1.mintur.gob.ve, dns2.mintur.gob.ve"
mippci.gob.ve,,,,,,Ministerio Del Poder Popular Para La Comunicacion Y La Informacion,1010,VE,"ns1.mippci.gob.ve, ns2.mippci.gob.ve"
miranda-carabobo.gob.ve,,,,,,NO APLICA,2041,VE,"theo.ns.cloudflare.com, kay.ns.cloudflare.com"
miranda.gob.ve,,,,,,,Los Teques,VE,"dns1.cantv.net, dns2.cantv.net"
misionpiar.gob.ve,,,,,,Fundacion Mision Piar,1010,VE,"ns4.mppdme.gob.ve, ns3.mppdme.gob.ve"
mp.gob.ve,,,,,,,"Caracas,",VE,"dns1.cantv.net, dns2.cantv.net"
mppct.gob.ve,,,,,,Ministerio Del Poder Popular Para Ciencia Y Tecnologia,1010,VE,"ns1.mppct.gob.ve, ns2.mppct.gob.ve"
mppe.gob.ve,,,,,,Arwin Orlando,1010,VE,"dns2.cantv.net, dns1.cantv.net"
mppee.gob.ve,,,,,,,Caracas,VE,"ns1.mppee.gob.ve, ns2.mppee.gob.ve"
mppef.gob.ve,,,,,,Ministerio Del Poder Popular De Econom  A Y Finanzas,1010,VE,"dns1.mppef.gob.ve, dns2.mppef.gob.ve"
mppeu.gob.ve,,,,,,Ministerio Del Poder Popular Para La Educacion Universitaria  Ciencia Y Tecnologia,1010,VE,"ns2.nube.gob.ve, ns1.nube.gob.ve, dns1.mppeuct.gob.ve"
mppop.gob.ve,,,,,,Ministerio Del Poder Popular De Obras Publicas,1050,VE,"dns2.mppop.gob.ve, dns1.mppop.gob.ve"
mppp.gob.ve,,,,,,,Caracas,VE,"ns2.mppp.gob.ve, ns1.mppp.gob.ve"
mpppst.gob.ve,,,,,,,Caracas,VE,"dns1.mpppst.gob.ve, dns2.mpppst.gob.ve"
mppre.gob.ve,,,,,,,Caracas,VE,"ns3.mppre.gob.ve, ns2.mppre.gob.ve, ns1.mppre.gob.ve, ns4.mppre.gob.ve"
mpprijp.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net"
mpps.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net"
mppsp.gob.ve,,,,,,Arjuna Jose,1060,VE,"dns1.mppsp.gob.ve, dns2.mppsp.gob.ve, dns3.mppsp.gob.ve"
mppt.gob.ve,,,,,,,Caracas,VE,"dns1.mppt.gob.ve, dns2.mppt.gob.ve"
nube.gob.ve,,,,,,Corporacion Para El Desarrollo Cientifico Y Tecnologico  S A,1020,VE,"ns2.nube.gob.ve, ns1.nube.gob.ve, ns6.nube.gob.ve, ns5.nube.gob.ve, ns4.nube.gob.ve, ns3.nube.gob.ve"
nuevaepoca.gob.ve,,,,,,Gobernacion Del Estado Bolivariano De Miranda,1201,VE,"ns4.daycohost.net, ns3.daycohost.net, ns2.daycohost.net, ns1.daycohost.net"
nuevaesparta.gob.ve,,,,,,,La Asuncion,VE,"ns1.nuevaesparta.gob.ve, ns2.nuevaesparta.gob.ve"
observatorio.gob.ve,,,,,,Centro Internacional De Inversi  N Productiva,1064,VE,"ns2.observatorio.gob.ve, ns1.observatorio.gob.ve"
ochina.gob.ve,,,,,,Oficina Coordinadora De Hidrografia Y Navegacion  Ochina,1161,VE,"dns1.cantv.net, dns2.cantv.net"
oncdoft.gob.ve,,,,,,Gregorio Jose,1060,VE,"ns2.oncdoft.gob.ve, ns1.oncdoft.gob.ve"
oncti.gob.ve,,,,,,Julio Cesar,1020,VE,"ns1.mppct.gob.ve, ns2.mppct.gob.ve, ns3.mppct.gob.ve"
onuginebra.gob.ve,,,,,,,Grand-Saconnex,CH,"ns37.kreativmedia.ch, ns38.kreativmedia.ch"
opsu.gob.ve,,,,,,Consejo Nacional De Universidades,1010,VE,"ns2.nube.gob.ve, ns1.nube.gob.ve, dns1.mppeuct.gob.ve"
ovs.gob.ve,,,,,,,Caracas,VE,"dns2.ovs.gob.ve, dns1.ovs.gob.ve"
pcivil.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net"
pdval.gob.ve,,,,,,,Caracas,VE,"ns1.pdval.gob.ve, ns2.pdval.gob.ve, ns3.pdval.gob.ve"
petro.gob.ve,,,,,,,Caracas,VE,"ns1.petro.gob.ve, ns4.petro.gob.ve, ns3.petro.gob.ve, ns2.petro.gob.ve"
petrocasa.gob.ve,,,,,,Petrocasa S.A.,2013,VE,"ns5.conectarhosting.com, ns6.conectarhosting.com"
planpatria.gob.ve,,,,,,,Caracas,VE,"ns1.mppp.gob.ve, ns2.mppp.gob.ve"
policiadearagua.gob.ve,,,,,,,Maracay,VE,dns1.policiadearagua.gob.ve
polimara.gob.ve,,,,,,,San Rafael de El Mojan,VE,"ns1.hostingmaracaibo.com, ns2.hostingmaracaibo.com"
polimer.gob.ve,,,,,,,Merida,VE,"ns1.polimer.gob.ve, ns2.polimer.gob.ve"
polocientifico.gob.ve,,,,,,Jose Rafael,1010,VE,"ns4.reacciun.ve, ns3.reacciun.ve"
portuguesa.gob.ve,,,,,,,Guanare,VE,"ns1.hostingmaracaibo.com, ns2.hostingmaracaibo.com"
prensapresidencialvenezuela.gob.ve,,,,,,Ministerio Del Poder Popular Del Despacho De La Presidencia Y Seguimiento De La Gestion De Gobierno,1010,VE,"ns2.digalo.gob.ve, ns1.digalo.gob.ve"
presidencia.gob.ve,,,,,,Ministerio Del Poder Popular Del Despacho De La Presidencia Y Seguimiento De La Gestion De Gobierno,1010,VE,"ns1.digalo.gob.ve, ns2.digalo.gob.ve"
procuraduriaestadobarinas.gob.ve,,,,,,Procuraduria General Del Estado Barinas,5201,VE,"ns4.netvicios.com, ns3.netvicios.com"
quimbiotec.gob.ve,,,,,,Hyrania Haratmit,1204,VE,"ns2.quimbiotec.gob.ve, ns1.quimbiotec.gob.ve"
reddearte.gob.ve,,,,,,Fundacion Red De Arte,1030,VE,"ns875.cleannameservers.com, ns876.cleannameservers.com"
redtv.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net"
regresoaclases.gob.ve,,,,,,Fondo Nacional De Misiones,1060,VE,"jen.ns.cloudflare.com, aarav.ns.cloudflare.com"
respaldocomunal.gob.ve,,,,,,Servicio Fondo Nacional Del Poder Popular,1010,VE,"ns2.safonapp.gob.ve, ns1.safonapp.gob.ve"
resquimc.gob.ve,,,,,,Registro Nacional Unico De Operadores De Sustancias Quimicas Controladas  Resquimc,1014,VE,"dns2.cantv.net, dns1.cantv.net"
rnv.gob.ve,,,,,,"Radio Nacional De Venezuela, C.a.",1050,VE,"kipp.ns.cloudflare.com, tori.ns.cloudflare.com"
robertserra.gob.ve,,,,,,Fundacion Mision Jovenes De La Patria Robert Serra,1012,VE,"ns13.tepuyserver.net, ns14.tepuyserver.net"
sabat.gob.ve,,,,,,,Barcelona,VE,"ns1.cdmon.net, ns2.cdmon.net, ns3.cdmon.net, ns4.cdmondns-01.org, ns5.cdmondns-01.com"
sabates.gob.ve,,,,,,Servicio Autonomo Bolivariano De Administracion Tributaria Del Estado Sucre  Sabates,6101,VE,"ns3.daycohost.com, ns4.daycohost.com"
safonapp.gob.ve,,,,,,Edgar Jose,1010,VE,"ns2.safonapp.gob.ve, ns1.safonapp.gob.ve"
sahum.gob.ve,,,,,,,Maracaibo,VE,"wally.ns.cloudflare.com, west.ns.cloudflare.com"
saime.gob.ve,,,,,,,Caracas,VE,ns1.saime.gob.ve
samath.gob.ve,,,,,,,Bolivar,VE,"dns1.alcaldiadeheres.gob.ve, dns2.alcaldiadeheres.gob.ve"
sapi.gob.ve,,,,,,Servicio Autonomo De La Propiedad Intelectual,1010,VE,"dns1.sapi.gob.ve, dns2.reacciun.ve"
saren.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net"
sarep.gob.ve,,,,,,,Guanare,VE,"ns1.hostingmaracaibo.com, ns2.hostingmaracaibo.com"
sateb.gob.ve,,,,,,Servicio Desconcentrado De Administracion Tributaria Barinas,5201,VE,"ns13.tepuyserver.net, ns14.tepuyserver.net"
sedat.gob.ve,,,,,,SEDAT,1071,VE,"june.ns.cloudflare.com, gerardo.ns.cloudflare.com"
sedatebne.gob.ve,,,,,,Superintendencia De Administraci  N Tributaria Del Estado Bolivariano De Nueva Esparta,6301,VE,dns.sedatebne.gob.ve
sedatez.gob.ve,,,,,,Servicio Desconcentrado De Administración Tributaria Del Estado Zulia,4001,VE,"ns2.sedatez.gob.ve, ns1.sedatez.gob.ve"
sedemat.gob.ve,,,,,,,Maracaibo,VE,"ns1.afraid.org, ns2.afraid.org, ns3.afraid.org, ns4.afraid.org"
sedematlagunillas.gob.ve,,,,,,,1010,VE,"ns1.a2hosting.com, ns2.a2hosting.com, ns3.a2hosting.com, ns4.a2hosting.com"
sen.gob.ve,,,,,,NO APLICA,1010,VE,"romina.ns.cloudflare.com, jonah.ns.cloudflare.com"
sencamer.gob.ve,,,,,,,Caracas,VE,"dns1.sencamer.gob.ve, dns2.sencamer.gob.ve"
seniat.gob.ve,,,,,,Servicio Nacional Integrado De Administracion Aduanera Y Tributaria,1070,VE,"dns1.cantv.net, dns2.cantv.net"
siarteccarabobo.gob.ve,,,,,,Gobernacion Estado Carabobo,2003,VE,"dns2.cantv.net, dns1.cantv.net"
sicm.gob.ve,,,,,,Ministerio Del Poder Popular  Para La Salud,1010,VE,"ns2.sicm.gob.ve, ns1.sicm.gob.ve"
sigestel.gob.ve,,,,,,Comision Nacional De Telecomunicaciones Conatel,1020,VE,"owen.ns.cloudflare.com, luciane.ns.cloudflare.com"
sinco.gob.ve,,,,,,,Caracas,VE,"ns2.sinco.gob.ve, ns1.sinco.gob.ve"
sitssa.gob.ve,,,,,,,"Petare-Guarenas, edificio Terminal de Oriente",VE,"dns1.cantv.net, dns2.cantv.net"
sna.gob.ve,,,,,,Oficina Nacional Antidrogas,1010,VE,"dns2.sna.gob.ve, dns1.sna.gob.ve"
snc.gob.ve,,,,,,Servicio Nacional De Contrataciones  Snc,1015,VE,"dns1.snc.gob.ve, dns5.snc.gob.ve, dns4.snc.gob.ve, dns3.snc.gob.ve, dns2.snc.gob.ve"
softwarelibre.gob.ve,,,,,,,Caracas,VE,"dns1.cnti.gob.ve, dns2.cnti.gob.ve, dns5.cnti.gob.ve, dns6.cnti.gob.ve, ns3.reacciun.ve, ns4.reacciun.ve"
sogamic.gob.ve,,,,,,Sgr Sogamic  S A,1080,VE,"ns30.tepuyserver.net, ns29.tepuyserver.net"
sogampi.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net, dns3.cantv.net, dns4.cantv.net, dns5.cantv.net"
solucioneshidraulicas.gob.ve,,,,,,Fundacion Laboratorio Nacional De Hidraulica,1073,VE,"ns351.gconex.com, ns350.gconex.com"
sudeaseg.gob.ve,,,,,,,Caracas,VE,"dns1.sudeaseg.gob.ve, dns2.sudeaseg.gob.ve"
sudeban.gob.ve,,,,,,Roxana Belen,1071,VE,"dns4.sudeban.gob.ve, dns2.sudeban.gob.ve, dns1.sudeban.gob.ve, dns3.sudeban.gob.ve"
sudebip.gob.ve,,,,,,,Caracas,VE,"dns1.sudebip.gob.ve, dns2.sudebip.gob.ve"
sudeca.gob.ve,,,,,,,Caracas,VE,"dns1.sudeca.gob.ve, dns2.sudeca.gob.ve"
sunacoop.gob.ve,,,,,,,Caracas,VE,"dns2.comunas.gob.ve, dns1.comunas.gob.ve"
sunacrip.gob.ve,,,,,,,Caracas,VE,"ns1.sunacrip.gob.ve, ns2.sunacrip.gob.ve, ns3.sunacrip.gob.ve, ns4.sunacrip.gob.ve"
sunad.gob.ve,,,,,,Oficina Nacional Antidrogas,1010,VE,"dns2.sunad.gob.ve, dns1.sunad.gob.ve"
sunagro.gob.ve,,,,,,,Caracas,VE,"dns1.sunagro.gob.ve, dns2.sunagro.gob.ve"
sunai.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net"
sunaval.gob.ve,,,,,,Superintendencia Nacional De Valores,1050,VE,"salvador.ns.cloudflare.com, lola.ns.cloudflare.com"
sundde.gob.ve,,,,,,,caraca,VE,"dns1.cantv.net, dns2.cantv.net"
suscerte.gob.ve,,,,,,,Caracas,VE,"ryloth2.suscerte.gob.ve, ryloth.suscerte.gob.ve"
teatroteresacarreno.gob.ve,,,,,,Fundacion Teatro Teresa Carre  O,1010,VE,"ns2.teatroteresacarreno.gob.ve, ns1.teatroteresacarreno.gob.ve"
telecom.gob.ve,,,,,,Carlos Enrique,1050,VE,"ns2.nube.gob.ve, ns1.nube.gob.ve"
tgc.gob.ve,,,,,,Raidaly Del Valle,1010,VE,"ns1.mppct.gob.ve, ns2.mppct.gob.ve, ns3.mppct.gob.ve"
tifm.gob.ve,,,,,,Territorio Insular Francisco De Miranda,1014,VE,"dns1.tifm.gob.ve, dns2.tifm.gob.ve, dns3.tifm.gob.ve"
tsj.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net"
tubhelca.gob.ve,,,,,,Tuberias Helicoidales  C A,3001,VE,"sara.ns.cloudflare.com, elmo.ns.cloudflare.com"
turmero.gob.ve,,,,,,,Turmero,VE,ns1.turmero.gob.ve
tves.gob.ve,,,,,,Victor Manuel,1070,VE,"ivan.ns.cloudflare.com, anna.ns.cloudflare.com"
ucs.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net"
unif.gob.ve,,,,,,,Caracas,VE,"dns1.unif.gob.ve, dns2.unif.gob.ve"
ven911.gob.ve,,,,,,,Caracas,VE,"dns2.cantv.net, dns1.cantv.net"
vencert.gob.ve,,,,,,,Caracas,VE,"ryloth.suscerte.gob.ve, ryloth2.suscerte.gob.ve"
venezuela.gob.ve,,,,,,,Caracas,VE,"ns1.digalo.gob.ve, ns2.digalo.gob.ve"
venezuelatoda.gob.ve,,,,,,Gobernacion Del Estado Bolivariano De Miranda,1201,VE,"ns2.daycohost.net, ns1.daycohost.net, ns3.daycohost.net, ns4.daycohost.net"
vensalud.gob.ve,,,,,,Sol Leoneidis,1010,VE,"ns1.vensalud.gob.ve, ns2.vensalud.gob.ve"
vicepresidencia.gob.ve,,,,,,Vicepresidencia De La Republica Bolivariana De Venezuela,1010,VE,beta.vicepresidencia.gob.ve
vit.gob.ve,,,,,,,Punto Fijo,VE,"ns1.vit.gob.ve, ns2.vit.gob.ve"
vpse.gob.ve,,,,,,,Caracas,VE,"ns2.industrias.gob.ve, ns1.industrias.gob.ve"
vsctes.gob.ve,,,,,,Ministerio Del Poder Popular Para Ciencia Y Tecnologia,1010,VE,"ns1.mppct.gob.ve, ns2.mppct.gob.ve"
vtv.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net"
vycsucre.gob.ve,,,,,,Vialidad Y Construcciones Sucre  S A,1010,VE,"dns2.vycsucre.gob.ve, dns1.vycsucre.gob.ve"
xvcenso.gob.ve,,,,,,,Caracas,VE,"ns1.mppp.gob.ve, ns2.mppp.gob.ve"
yaracuy.gob.ve,,,,,,,San Felipe,VE,"kay.ns.cloudflare.com, theo.ns.cloudflare.com"
zecarabobo.gob.ve,,,,,,,Valencia,VE,"ns39.tepuyserver.net, ns40.tepuyserver.net"
zulia.gob.ve,,,,,,,Maracaibo,VE,"amber.ns.cloudflare.com, brett.ns.cloudflare.com"
